REGION,TECHNOLOGY,VALUE
REGION1,GRNGCHPN3,31.536
REGION1,GRNGCSPN2,31.536
REGION1,GRNGFCFH1,31.536
REGION1,GRNGGCPH2,31.536
REGION1,GRNGGCPN2,31.536
REGION1,GRNGHPFH1,31.536
REGION1,GRNGHPPH2,31.536
REGION1,GRNGSTPH2,31.536
REGION1,GROCWVPH1,31.536
REGION1,GROI00I00,1
REGION1,GROI00X00,1
REGION1,GROIRFPH0,1
REGION1,GRSODIFH1,31.536
REGION1,GRSOUTPH2,31.536
REGION1,GRWIOFPN3,31.536
REGION1,GRWIONPH3,31.536
REGION1,GRWS00X00,1
REGION1,GRWSCHPH2,31.536
REGION1,GRWSSTPH1,31.536
REGION1,HRBF00I00,1
REGION1,HRBF00X00,1
REGION1,HRBFHPFH1,31.536
REGION1,HRBM00I00,1
REGION1,HRBM00X00,1
REGION1,HRBMCCPH1,31.536
